date,# of CTN,Lag_7
2024-03-06,0.0,0.0
2024-03-07,0.0,0.0
2024-03-08,0.0,0.0
2024-03-09,0.0,0.0
2024-03-10,0.0,0.0
2024-03-11,0.0,0.0
2024-03-12,0.0,0.0
2024-03-13,0.0,0.0
2024-03-14,0.0,0.0
2024-03-15,0.0,0.0
2024-03-16,0.0,0.0
2024-03-17,0.0,0.0
2024-03-18,0.0,0.0
2024-03-19,0.0,0.0
2024-03-20,0.0,0.0
2024-03-21,2764.0,0.0
2024-03-22,1434.0,0.0
2024-03-23,22.0,0.0
2024-03-24,0.0,0.0
2024-03-25,1329.0,0.0
2024-03-26,1106.0,0.0
2024-03-27,1862.0,0.0
2024-03-28,2339.0,2764.0
2024-03-29,0.0,1434.0
2024-03-30,0.0,22.0
2024-03-31,0.0,0.0
2024-04-01,0.0,1329.0
2024-04-02,997.0,1106.0
2024-04-03,3113.0,1862.0
2024-04-04,0.0,2339.0
2024-04-05,1257.0,0.0
2024-04-06,4.0,0.0
2024-04-07,0.0,0.0
2024-04-08,3869.0,0.0
2024-04-09,2345.0,997.0
2024-04-10,3460.0,3113.0
2024-04-11,3430.0,0.0
2024-04-12,2261.0,1257.0
2024-04-13,58.0,4.0
2024-04-14,0.0,0.0
2024-04-15,1930.0,3869.0
2024-04-16,1242.0,2345.0
2024-04-17,1687.0,3460.0
2024-04-18,2510.0,3430.0
2024-04-19,2045.0,2261.0
2024-04-20,14.0,58.0
2024-04-21,0.0,0.0
2024-04-22,1470.0,1930.0
2024-04-23,1757.0,1242.0
2024-04-24,1982.0,1687.0
2024-04-25,2213.0,2510.0
2024-04-26,1204.0,2045.0
2024-04-27,59.0,14.0
2024-04-28,0.0,0.0
2024-04-29,1549.0,1470.0
2024-04-30,2592.0,1757.0
2024-05-01,0.0,1982.0
2024-05-02,1179.0,2213.0
2024-05-03,625.0,1204.0
2024-05-04,0.0,59.0
2024-05-05,0.0,0.0
2024-05-06,2224.0,1549.0
2024-05-07,2058.0,2592.0
2024-05-08,2995.0,0.0
2024-05-09,2927.0,1179.0
2024-05-10,2078.0,625.0
2024-05-11,84.0,0.0
2024-05-12,0.0,0.0
2024-05-13,1552.0,2224.0
2024-05-14,2191.0,2058.0
2024-05-15,0.0,2995.0
2024-05-16,2690.0,2927.0
2024-05-17,1003.0,2078.0
2024-05-18,3.0,84.0
2024-05-19,0.0,0.0
2024-05-20,1866.0,1552.0
2024-05-21,1476.0,2191.0
2024-05-22,2125.0,0.0
2024-05-23,2338.0,2690.0
2024-05-24,1094.0,1003.0
2024-05-25,21.0,3.0
2024-05-26,0.0,0.0
2024-05-27,1610.0,1866.0
2024-05-28,1707.0,1476.0
2024-05-29,1310.0,2125.0
2024-05-30,1319.0,2338.0
2024-05-31,1315.0,1094.0
2024-06-01,21.0,21.0
2024-06-02,0.0,0.0
